LGA,Population,Year,Number of Deaths,Total Deaths,"DeathsPer100k"
ARARAT,11686,2018,0,2,0
BALLARAT,121050,2018,4,16,3.3
BAW BAW,61905,2018,1,5,1.62
BAYSIDE,106118,2018,0,1,0
BENALLA,14635,2018,2,3,13.67
BOROONDARA,178008,2018,0,12,0
BRIMBANK,198152,2018,1,3,0.5
CAMPASPE,38153,2018,0,5,0
CARDINIA,130383,2018,0,6,0
CASEY,405415,2018,2,6,0.49
CENTRAL GOLDFIELDS,13704,2018,0,2,0
COLAC OTWAY,22300,2018,0,6,0
CORANGAMITE,15846,2018,0,4,0
DAREBIN,159963,2018,1,5,0.63
EAST GIPPSLAND,49422,2018,0,7,0
FRANKSTON,144615,2018,1,5,0.69
GANNAWARRA,10404,2018,1,3,9.61
GLEN EIRA,161057,2018,1,1,0.62
GLENELG,20007,2018,0,1,0
GOLDEN PLAINS,26337,2018,0,1,0
GREATER BENDIGO,125805,2018,1,6,0.79
GREATER DANDENONG,167298,2018,1,20,0.6
GREATER GEELONG,289565,2018,1,12,0.35
GREATER SHEPPARTON,69874,2018,2,9,2.86
HINDMARSH,5464,2018,0,1,0
HOBSONS BAY,95633,2018,1,5,1.05
HORSHAM,20376,2018,0,2,0
HUME,271709,2018,1,18,0.37
INDIGO,17788,2018,0,2,0
KINGSTON,166521,2018,2,9,1.2
KNOX,163302,2018,0,6,0
LATROBE,78845,2018,1,6,1.27
LODDON,7755,2018,0,1,0
MACEDON RANGES,53738,2018,0,2,0
MANNINGHAM,131761,2018,1,3,0.76
MANSFIELD,10782,2018,1,1,9.27
MARIBYRNONG,94251,2018,2,5,2.12
MAROONDAH,119354,2018,0,1,0
MELBOURNE,189381,2018,3,18,1.58
MELTON,219697,2018,2,3,0.91
MILDURA,57626,2018,2,4,3.47
MITCHELL,56384,2018,2,5,3.55
MOIRA,30836,2018,1,3,3.24
MONASH,209268,2018,1,12,0.48
MOONEE VALLEY,129732,2018,0,3,0
MOORABOOL,39814,2018,0,4,0
MORNINGTON PENINSULA,171450,2018,1,6,0.58
MOUNT ALEXANDER,20799,2018,0,1,0
MOYNE,17717,2018,0,3,0
MURRINDINDI,15603,2018,0,6,0
NORTHERN GRAMPIANS,11808,2018,0,1,0
PORT PHILLIP,112669,2018,1,4,0.89
PYRENEES,7958,2018,0,2,0
SOUTH GIPPSLAND,31022,2018,1,5,3.22
SOUTHERN GRAMPIANS,16525,2018,0,1,0
STONNINGTON,114038,2018,0,2,0
STRATHBOGIE,11739,2018,0,2,0
SURF COAST,39928,2018,0,1,0
SWAN HILL,21094,2018,0,1,0
TOWONG,6237,2018,1,2,16.03
WANGARATTA,30169,2018,1,2,3.31
WARRNAMBOOL,36150,2018,0,2,0
WELLINGTON,46533,2018,0,5,0
WEST WIMMERA,3913,2018,0,1,0
