Industry,Year,Total Number of Claims
Administrative and Support Services,2018,1082
Administrative and Support Services,2019,1168
Administrative and Support Services,2020,1053
Administrative and Support Services,2021,1154
Administrative and Support Services,2022,1269
"Agriculture, Forestry and Fishing",2018,651
"Agriculture, Forestry and Fishing",2019,605
"Agriculture, Forestry and Fishing",2020,641
"Agriculture, Forestry and Fishing",2021,711
"Agriculture, Forestry and Fishing",2022,702
Arts and Recreation Services,2018,846
Arts and Recreation Services,2019,878
Arts and Recreation Services,2020,604
Arts and Recreation Services,2021,784
Arts and Recreation Services,2022,838
Construction,2018,3914
Construction,2019,3993
Construction,2020,3902
Construction,2021,4139
Construction,2022,4129
Education and Training,2018,1931
Education and Training,2019,1978
Education and Training,2020,1535
Education and Training,2021,1773
Education and Training,2022,2134
"Electricity, Gas, Water and Waste Services",2018,389
"Electricity, Gas, Water and Waste Services",2019,360
"Electricity, Gas, Water and Waste Services",2020,334
"Electricity, Gas, Water and Waste Services",2021,414
"Electricity, Gas, Water and Waste Services",2022,376
Financial and Insurance Services,2018,194
Financial and Insurance Services,2019,194
Financial and Insurance Services,2020,196
Financial and Insurance Services,2021,207
Financial and Insurance Services,2022,187
Health Care and Social Assistance,2018,4215
Health Care and Social Assistance,2019,4468
Health Care and Social Assistance,2020,5188
Health Care and Social Assistance,2021,5259
Health Care and Social Assistance,2022,5060
Manufacturing,2018,4197
Manufacturing,2019,4398
Manufacturing,2020,4170
Manufacturing,2021,4513
Manufacturing,2022,4309
Mining,2018,104
Mining,2019,120
Mining,2020,115
Mining,2021,133
Mining,2022,120
"Professional, Scientific and Technical Services",2018,698
"Professional, Scientific and Technical Services",2019,690
"Professional, Scientific and Technical Services",2020,671
"Professional, Scientific and Technical Services",2021,715
"Professional, Scientific and Technical Services",2022,739
Public Administration and Safety,2018,2188
Public Administration and Safety,2019,2363
Public Administration and Safety,2020,2267
Public Administration and Safety,2021,2717
Public Administration and Safety,2022,2871
Retail Trade,2018,1467
Retail Trade,2019,1551
Retail Trade,2020,1351
Retail Trade,2021,1481
Retail Trade,2022,1518
"Transport, Postal and Warehousing",2018,2116
"Transport, Postal and Warehousing",2019,2188
"Transport, Postal and Warehousing",2020,2029
"Transport, Postal and Warehousing",2021,2287
"Transport, Postal and Warehousing",2022,2295
Wholesale Trade,2018,1672
Wholesale Trade,2019,1691
Wholesale Trade,2020,1567
Wholesale Trade,2021,1665
Wholesale Trade,2022,1674
