Local Government Area,Total Number of Deaths,Population
ARARAT,2,11686
BALLARAT,16,121050
BAW BAW,5,61905
BAYSIDE,1,106118
BENALLA,3,14635
BOROONDARA,12,178008
BRIMBANK,3,198152
CAMPASPE,5,38153
CARDINIA,6,130383
CASEY,6,405415
CENTRAL GOLDFIELDS,2,13704
COLAC OTWAY,6,22300
CORANGAMITE,4,15846
DAREBIN,5,159963
EAST GIPPSLAND,7,49422
FRANKSTON,5,144615
GANNAWARRA,3,10404
GLEN EIRA,1,161057
GLENELG,1,20007
GOLDEN PLAINS,1,26337
GREATER BENDIGO,6,125805
GREATER DANDENONG,20,167298
GREATER GEELONG,12,289565
GREATER SHEPPARTON,9,69874
HINDMARSH,1,5464
HOBSONS BAY,5,95633
HORSHAM,2,20376
HUME,18,271709
INDIGO,2,17788
KINGSTON,9,166521
KNOX,6,163302
LATROBE,6,78845
LODDON,1,7755
MACEDON RANGES,2,53738
MANNINGHAM,3,131761
MANSFIELD,1,10782
MARIBYRNONG,5,94251
MAROONDAH,1,119354
MELBOURNE,18,189381
MELTON,3,219697
MILDURA,4,57626
MITCHELL,5,56384
MOIRA,3,30836
MONASH,12,209268
MOONEE VALLEY,3,129732
MOORABOOL,4,39814
MORNINGTON PENINSULA,6,171450
MOUNT ALEXANDER,1,20799
MOYNE,3,17717
MURRINDINDI,6,15603
NORTHERN GRAMPIANS,1,11808
PORT PHILLIP,4,112669
PYRENEES,2,7958
SOUTH GIPPSLAND,5,31022
SOUTHERN GRAMPIANS,1,16525
STONNINGTON,2,114038
STRATHBOGIE,2,11739
SURF COAST,1,39928
SWAN HILL,1,21094
TOWONG,2,6237
WANGARATTA,2,30169
WARRNAMBOOL,2,36150
WELLINGTON,5,46533
WEST WIMMERA,1,3913
WHITEHORSE,9,183462
WHITTLESEA,13,253204
WODONGA,4,44824
WYNDHAM,9,337009
YARRA,9,100706
YARRA RANGES,9,160137
